category,question,option1,option2,option3,option4,correct_answer,explanation
政策インデックス,ステップ１で「すべての子どもに専属のAI家庭教師を届けます」が含まれる政策分野は？,行政改革,教育,子育て,科学技術,2,「すべての子どもに専属のAI家庭教師を届けます」は教育分野のステップ１政策です。
政策インデックス,「なめらかな税・社会保障」はどのステップの政策ですか？,ステップ１,ステップ２,ステップ３,すべてのステップ,2,「なめらかな税・社会保障」はステップ２の行政改革に含まれています。
政策インデックス,ステップ１に含まれる政策分野の数は？,6分野,7分野,8分野,9分野,2,ステップ１には教育、子育て、行政改革、産業、科学技術、デジタル民主主義、医療の7分野が含まれています。
政策インデックス,ステップ２に含まれる政策分野の数は？,3分野,4分野,5分野,6分野,2,ステップ２には教育、行政改革、経済財政、医療の4分野が含まれています。
政策インデックス,ステップ３に含まれる政策分野の数は？,5分野,6分野,7分野,8分野,2,ステップ３には子育て、教育、科学技術、産業、エネルギー、経済財政の6分野が含まれています。
政策インデックス,デジタル民主主義の政策があるのはどのステップですか？,ステップ１のみ,ステップ２のみ,ステップ３のみ,ステップ１とステップ２,1,デジタル民主主義の政策はステップ１にのみ含まれています。
政策インデックス,医療分野で３つのステップすべてに政策があるかどうか？,ステップ１とステップ２のみ,ステップ２とステップ３のみ,すべてのステップにある,ステップ１のみ,3,医療分野はステップ１、ステップ２、ステップ３すべてに政策があります。
政策インデックス,教育分野で政策があるのはどのステップですか？,ステップ１のみ,ステップ２のみ,ステップ３のみ,すべてのステップ,4,教育分野はステップ１、ステップ２、ステップ３すべてに政策があります。
政策インデックス,エネルギー分野の政策があるのはどのステップですか？,ステップ１,ステップ２,ステップ３,すべてのステップ,3,エネルギー分野の政策はステップ３にのみ含まれています。
政策インデックス,経済財政分野で政策があるのはどのステップですか？,ステップ１のみ,ステップ２のみ,ステップ３のみ,ステップ２とステップ３,4,経済財政分野はステップ２とステップ３に政策があります。
