category,question,option1,option2,option3,option4,correct_answer,explanation
チームみらいのビジョン,チームみらいが掲げる理念は何ですか？,テクノロジーで誰も取り残さない日本をつくる,デジタル格差をなくして平等な社会をつくる,AIで人間の仕事を代替する未来をつくる,すべての人にスマートフォンを配布する,1,チームみらいの中心的な理念は「テクノロジーで誰も取り残さない日本をつくる」です。
チームみらいのビジョン,2024年の出生数として言及されている数字は？,68万人,72万人,76万人,80万人,2,2024年の出生数は72万人と過去最少を更新したと記載されています。
チームみらいのビジョン,日本の過去20年間のGDP成長について述べられている内容は？,年平均3%成長,年平均1%成長,ほぼゼロ成長,マイナス成長,3,過去20年間でGDPはほぼゼロ成長と記載されています。
チームみらいのビジョン,AIのIQが2024年5月から2025年4月にかけてどう変化したとされていますか？,96から110に上昇,96から120に上昇,96から136に上昇,96から150に上昇,3,AIのIQは2024年5月の96から2025年4月には136まで上昇したと記載されています。
チームみらいのビジョン,AIの性能向上サイクルとして言及されているのは？,性能は6ヶ月で2倍・コストは年で10分の1,性能は7ヶ月で2倍・コストは12ヶ月で10分の1,性能は8ヶ月で2倍・コストは15ヶ月で10分の1,性能は9ヶ月で2倍・コストは18ヶ月で10分の1,2,AIの性能は7ヶ月で2倍、コストは12ヶ月で10分の1になると記載されています。
チームみらいのビジョン,トヨタが最初の自動車を完成させた年として挙げられているのは？,1932年,1935年,1938年,1940年,2,トヨタは1935年に最初の自動車を完成させたと記載されています。
チームみらいのビジョン,フォードT型車発売からトヨタ初車完成まで何年かかったとされていますか？,25年,27年,29年,31年,2,フォードT型車発売から27年後にトヨタが最初の自動車を完成させたと記載されています。
チームみらいのビジョン,マニフェストで提案されている３つのステップのうち、ステップ１は何ですか？,変化に対応できるしなやかな仕組みづくり,長期の成長に大胆に投資する,デジタル時代の当たり前をやりきる,国際競争力を高める基盤づくり,3,ステップ１は「デジタル時代の当たり前をやりきる」で、既存技術の着実な導入と定着を目指します。
チームみらいのビジョン,ステップ２のテーマは何ですか？,デジタル時代の当たり前をやりきる,変化に対応できるしなやかな仕組みづくり,長期の成長に大胆に投資する,技術革新の基盤を整える,2,ステップ２は「変化に対応できるしなやかな仕組みづくり」です。
チームみらいのビジョン,ステップ３のテーマは何ですか？,デジタル時代の当たり前をやりきる,変化に対応できるしなやかな仕組みづくり,長期の成長に大胆に投資する,持続可能な社会の実現,3,ステップ３は「長期の成長に大胆に投資する」です。
