category,question,option1,option2,option3,option4,correct_answer,explanation
ステップ３エネルギー,2030年時点の電源構成目標で原子力の比率は？,15〜17％,18〜20％,20〜22％,23〜25％,3,第6次エネルギー基本計画では原子力20〜22％と設定されています。
ステップ３エネルギー,2023年の原子力発電の実績比率は？,6％,9％,12％,15％,2,2023年の実績は原子力9％でした。
ステップ３エネルギー,2030年時点の電源構成目標でLNG（天然ガス）の比率は？,15％,20％,25％,30％,2,LNGの目標比率は20％です。
ステップ３エネルギー,2023年のLNG（天然ガス）の実績比率は？,25％,30％,32％,35％,3,2023年の実績はLNG32％でした。
ステップ３エネルギー,2024年度見込みの再エネ賦課金による国民負担額は？,1.7兆円,2.7兆円,3.7兆円,4.7兆円,2,2024年度見込みで2.7兆円に達しています。
ステップ３エネルギー,2023年のLNG輸入費用は？,約4.5兆円,約5.5兆円,約6.5兆円,約7.5兆円,3,2023年のLNG輸入費用は約6.5兆円です。
ステップ３エネルギー,2030年時点で目指す原子力発電所の運転基数は？,20基以上,25基以上,30基以上,35基以上,2,2030年時点で25基以上の運転を実現するとされています。
ステップ３エネルギー,SMRとは何の略称か？,Small Modular Reactor,Smart Modular Reactor,Safe Modular Reactor,Standard Modular Reactor,1,Small Modular Reactor（小型モジュール炉）の略称です。
ステップ３エネルギー,多目的ダム法の見直しで重視されているのは？,治水機能の強化,利水機能の拡大,発電機能の向上,すべて含む,4,治水、利水、発電すべての機能向上が重視されています。
ステップ３エネルギー,核融合技術の開発で期待されている効果は？,クリーンエネルギー,安定供給,長期利用,すべて含む,4,クリーンエネルギー、安定供給、長期利用すべてが期待されています。
